WILAYAH_KERJA,OPERATOR,AFE_NO,BUDGET_SCHEDULE,AFE_STATUS,CONTRACT_AREA,CONTRACT_AREA_NO,ACTIVITY_CODE,BASIN,SURVEY_TYPE,OBJECTIVE,LOCATION,MEETING_DATE,PLATFORM_TRIPOD,SAMPLE,SINGLE_DUAL_TRIPLE,PROJECT_NAME,PROJECT_TYPE,WELL_NAME,WELL_TYPE,PROGRAM_NAME,PROGRAM_NO,ESP,KM,MAN_HOURS,MUD_TYPE,HORSE_POWER,IMPURITIES_CONTENT,DIAMETER,SHOOT_POINT,TROUGHPUT,CAPACITY,OG_RESERVOIR,EVALUATION_NOTE,EXTERNAL_JUSTIFICATION,POD_REF_NO,EST_PRODUCTION_GAIN,FIELD,STRUCTURE,ELEVATION,ELEVATION_KB,SURFACE_COORDINATE_LATITUDE,SURFACE_COORDINATE_LONGITUDE,TARGET_EVALUASI,CASHING_MATERIAL,PLAN__TOTAL_DEPTH,PLAN_WELL_COST_PER_DAY,PLAN_WELL_COST_PER_FOOT,PLAN_DRILLING_DAYS,PLAN_MOVING_DAYS,PLAN_MOB_DEMOB,WPAB,WPAB_REF_NO,CREATED_DATE,EST_START_DATE
BARITO,BP INDONESIA,24-0040-E,18E - Exploration & Exploitation,Draft,BINTUNI BLOCK PSC,CA-140,G&G,INDONESIA BASIN,SEISMIC 3D,Reservoir Imaging,Site-40,3/12/2024 0:00,Yes,Rock Core,Dual,Project-40,Exploration,Well-40,Development,Standard Program,PROG-40,Yes,93.86,2181,Oil Based Mud,850,Medium,7.8,SP-40,Moderate,Low,Layer-40,Satisfactory analysis result.,Strategic asset development,POD-40,2433,Field-40,Structure-40,80.6,3,-2.0067,121.2212,Target-40,Steel,3299,187674,43,38,5,3,WPAB-40,REF-40,1/1/2024 0:00,4/10/2024 0:00
BINTUNI,BP INDONESIA,24-0041-E,18E - Exploration & Exploitation,Approved,BINTUNI BLOCK PSC,CA-141,G&G,INDONESIA BASIN,SEISMIC 3D,Structure Mapping,Site-41,3/13/2024 0:00,No,Rock Core,Single,Project-41,Development,Well-41,Development,Standard Program,PROG-41,No,119.09,2873,Water Based Mud,1310,High,10.9,SP-41,Low,High,Layer-41,Satisfactory analysis result.,Strategic asset development,POD-41,1469,Field-41,Structure-41,30.2,4.9,-2.0699,100.4635,Target-41,Steel,2229,174841,31,10,5,3,WPAB-41,REF-41,1/1/2024 0:00,4/11/2024 0:00
MAHAKAM,ALTAR RESOURCES,24-0042-E,18E - Exploration & Exploitation,Closed Out,BINTUNI BLOCK PSC,CA-142,G&G,INDONESIA BASIN,MAGNETIC,Structure Mapping,Site-42,3/14/2024 0:00,Yes,Rock Core,Dual,Project-42,Exploration,Well-42,Exploration,Standard Program,PROG-42,No,87.07,1231,Oil Based Mud,1460,High,11.4,SP-42,Low,Low,Layer-42,Satisfactory analysis result.,Strategic asset development,POD-42,2100,Field-42,Structure-42,98.4,2,-2.5739,128.3812,Target-42,Composite,3947,134442,49,39,5,3,WPAB-42,REF-42,1/1/2024 0:00,4/12/2024 0:00
SERAM,PERTAMINA HULU,24-0043-E,18E - Exploration & Exploitation,Draft,MAHAKAM BLOCK PSC,CA-143,G&G,INDONESIA BASIN,MAGNETIC,Reservoir Imaging,Site-43,3/15/2024 0:00,No,Rock Core,Triple,Project-43,Exploration,Well-43,Exploration,Standard Program,PROG-43,No,82.47,1772,Oil Based Mud,714,Medium,7.6,SP-43,Moderate,High,Layer-43,Satisfactory analysis result.,Strategic asset development,POD-43,1276,Field-43,Structure-43,60.2,3.1,-2.5065,98.2649,Target-43,Steel,3968,165442,49,13,2,3,WPAB-43,REF-43,1/1/2024 0:00,4/13/2024 0:00
SERAM,REPSOL,24-0044-E,18E - Exploration & Exploitation,Approved,BINTUNI BLOCK PSC,CA-144,G&G,INDONESIA BASIN,MAGNETIC,Reservoir Imaging,Site-44,3/16/2024 0:00,Yes,Rock Core,Dual,Project-44,Development,Well-44,Appraisal,Standard Program,PROG-44,No,62.79,2697,Water Based Mud,986,Low,10.2,SP-44,High,High,Layer-44,Satisfactory analysis result.,Strategic asset development,POD-44,1582,Field-44,Structure-44,25.3,2.2,-0.7219,133.284,Target-44,Composite,1971,127374,46,36,4,1,WPAB-44,REF-44,1/1/2024 0:00,4/14/2024 0:00
BINTUNI,PERTAMINA HULU,24-0045-E,18E - Exploration & Exploitation,Draft,SERAM BLOCK PSC,CA-145,G&G,INDONESIA BASIN,SEISMIC 2D,Structure Mapping,Site-45,3/17/2024 0:00,Yes,Rock Core,Single,Project-45,Development,Well-45,Appraisal,Standard Program,PROG-45,No,169.44,1854,Water Based Mud,1376,Low,8.7,SP-45,High,Medium,Layer-45,Satisfactory analysis result.,Strategic asset development,POD-45,2812,Field-45,Structure-45,65.5,2.1,-0.949,127.7836,Target-45,Steel,2566,166968,36,28,5,3,WPAB-45,REF-45,1/1/2024 0:00,4/15/2024 0:00
BARITO,PERTAMINA HULU,24-0046-E,18E - Exploration & Exploitation,Draft,BARITO BLOCK PSC,CA-146,G&G,INDONESIA BASIN,SEISMIC 2D,Hydrocarbon Detection,Site-46,3/18/2024 0:00,Yes,Rock Core,Triple,Project-46,Exploration,Well-46,Exploration,Standard Program,PROG-46,Yes,195.06,1233,Oil Based Mud,1303,Low,9.8,SP-46,Low,Low,Layer-46,Satisfactory analysis result.,Strategic asset development,POD-46,1576,Field-46,Structure-46,55.9,3.3,-2.4243,108.7131,Target-46,Steel,3390,166032,33,12,3,2,WPAB-46,REF-46,1/1/2024 0:00,4/16/2024 0:00
BINTUNI,CONOCOPHILLIPS,24-0047-E,18E - Exploration & Exploitation,Closed Out,MAHAKAM BLOCK PSC,CA-147,G&G,INDONESIA BASIN,SEISMIC 2D,Stratigraphic Correlation,Site-47,3/19/2024 0:00,Yes,Rock Core,Single,Project-47,Exploration,Well-47,Development,Standard Program,PROG-47,Yes,146.61,2084,Oil Based Mud,528,Medium,6.7,SP-47,Moderate,Medium,Layer-47,Satisfactory analysis result.,Strategic asset development,POD-47,1339,Field-47,Structure-47,80.7,1.7,-1.0498,96.9055,Target-47,Steel,3478,129815,47,25,3,2,WPAB-47,REF-47,1/1/2024 0:00,4/17/2024 0:00
BARITO,BP INDONESIA,24-0048-E,18E - Exploration & Exploitation,Approved,SERAM BLOCK PSC,CA-148,G&G,INDONESIA BASIN,G&G STUDY,Structure Mapping,Site-48,3/20/2024 0:00,No,Rock Core,Single,Project-48,Development,Well-48,Appraisal,Standard Program,PROG-48,No,133.6,1620,Water Based Mud,1331,High,8.4,SP-48,High,High,Layer-48,Satisfactory analysis result.,Strategic asset development,POD-48,1522,Field-48,Structure-48,44.1,1.9,-0.5328,122.4442,Target-48,Steel,1058,116825,43,17,5,3,WPAB-48,REF-48,1/1/2024 0:00,4/18/2024 0:00
SUMATERA,ALTAR RESOURCES,24-0049-E,18E - Exploration & Exploitation,Approved,SERAM BLOCK PSC,CA-149,G&G,INDONESIA BASIN,MAGNETIC,Stratigraphic Correlation,Site-49,3/21/2024 0:00,Yes,Rock Core,Single,Project-49,Exploration,Well-49,Appraisal,Standard Program,PROG-49,No,101.19,2376,Oil Based Mud,1090,High,8,SP-49,High,High,Layer-49,Satisfactory analysis result.,Strategic asset development,POD-49,2085,Field-49,Structure-49,57.1,4.8,-2.443,113.71,Target-49,Steel,1627,143653,39,37,4,2,WPAB-49,REF-49,1/1/2024 0:00,4/19/2024 0:00
MAHAKAM,REPSOL,24-0050-E,18E - Exploration & Exploitation,Closed Out,BINTUNI BLOCK PSC,CA-150,G&G,INDONESIA BASIN,G&G STUDY,Stratigraphic Correlation,Site-50,3/22/2024 0:00,No,Rock Core,Single,Project-50,Exploration,Well-50,Development,Standard Program,PROG-50,Yes,161.26,1339,Oil Based Mud,1447,High,11.9,SP-50,Moderate,High,Layer-50,Satisfactory analysis result.,Strategic asset development,POD-50,1486,Field-50,Structure-50,85,4.3,-1.4317,95.4573,Target-50,Composite,1220,156905,39,15,2,1,WPAB-50,REF-50,1/1/2024 0:00,4/20/2024 0:00
BARITO,CONOCOPHILLIPS,24-0051-E,18E - Exploration & Exploitation,Approved,SUMATERA BLOCK PSC,CA-151,G&G,INDONESIA BASIN,SEISMIC 3D,Reservoir Imaging,Site-51,3/23/2024 0:00,No,Rock Core,Triple,Project-51,Exploration,Well-51,Development,Standard Program,PROG-51,No,54.49,2860,Water Based Mud,762,Low,7.1,SP-51,Low,Low,Layer-51,Satisfactory analysis result.,Strategic asset development,POD-51,1347,Field-51,Structure-51,42.5,3.8,-1.3867,95.7518,Target-51,Composite,3037,132543,33,29,3,3,WPAB-51,REF-51,1/1/2024 0:00,4/21/2024 0:00
SERAM,CONOCOPHILLIPS,24-0052-E,18E - Exploration & Exploitation,Closed Out,SERAM BLOCK PSC,CA-152,G&G,INDONESIA BASIN,SEISMIC 2D,Stratigraphic Correlation,Site-52,3/24/2024 0:00,Yes,Rock Core,Dual,Project-52,Development,Well-52,Appraisal,Standard Program,PROG-52,Yes,170.21,1318,Water Based Mud,575,High,6.6,SP-52,High,Low,Layer-52,Satisfactory analysis result.,Strategic asset development,POD-52,1987,Field-52,Structure-52,56,1,-0.784,126.0336,Target-52,Composite,1586,157889,48,20,2,1,WPAB-52,REF-52,1/1/2024 0:00,4/22/2024 0:00
BINTUNI,BP INDONESIA,24-0053-E,18E - Exploration & Exploitation,Closed Out,SUMATERA BLOCK PSC,CA-153,G&G,INDONESIA BASIN,G&G STUDY,Reservoir Imaging,Site-53,3/25/2024 0:00,Yes,Rock Core,Dual,Project-53,Exploration,Well-53,Development,Standard Program,PROG-53,No,127.04,1767,Water Based Mud,952,High,6.7,SP-53,Moderate,Medium,Layer-53,Satisfactory analysis result.,Strategic asset development,POD-53,2277,Field-53,Structure-53,85.9,4.6,-2.4647,115.5577,Target-53,Composite,1863,120672,32,33,3,3,WPAB-53,REF-53,1/1/2024 0:00,4/23/2024 0:00
SUMATERA,ALTAR RESOURCES,24-0054-E,18E - Exploration & Exploitation,Draft,SERAM BLOCK PSC,CA-154,G&G,INDONESIA BASIN,MAGNETIC,Reservoir Imaging,Site-54,3/26/2024 0:00,Yes,Rock Core,Triple,Project-54,Exploration,Well-54,Exploration,Standard Program,PROG-54,No,64.1,1737,Oil Based Mud,610,High,6.9,SP-54,Low,Medium,Layer-54,Satisfactory analysis result.,Strategic asset development,POD-54,1299,Field-54,Structure-54,21.3,3,-1.3068,108.8476,Target-54,Composite,3961,180898,39,35,5,2,WPAB-54,REF-54,1/1/2024 0:00,4/24/2024 0:00
BINTUNI,CONOCOPHILLIPS,24-0055-E,18E - Exploration & Exploitation,Approved,SERAM BLOCK PSC,CA-155,G&G,INDONESIA BASIN,SEISMIC 2D,Reservoir Imaging,Site-55,3/27/2024 0:00,Yes,Rock Core,Single,Project-55,Development,Well-55,Appraisal,Standard Program,PROG-55,Yes,123.82,1737,Oil Based Mud,556,High,10.5,SP-55,High,Low,Layer-55,Satisfactory analysis result.,Strategic asset development,POD-55,1031,Field-55,Structure-55,31.1,2.4,-1.7801,95.1479,Target-55,Steel,2722,101224,48,32,2,1,WPAB-55,REF-55,1/1/2024 0:00,4/25/2024 0:00
BARITO,REPSOL,24-0056-E,18E - Exploration & Exploitation,Closed Out,SERAM BLOCK PSC,CA-156,G&G,INDONESIA BASIN,MAGNETIC,Structure Mapping,Site-56,3/28/2024 0:00,Yes,Rock Core,Dual,Project-56,Development,Well-56,Development,Standard Program,PROG-56,No,182.54,1369,Oil Based Mud,1003,Medium,11.8,SP-56,Low,Low,Layer-56,Satisfactory analysis result.,Strategic asset development,POD-56,2393,Field-56,Structure-56,31.3,4,-2.3511,138.0018,Target-56,Composite,3661,118721,47,25,5,1,WPAB-56,REF-56,1/1/2024 0:00,4/26/2024 0:00
MAHAKAM,BP INDONESIA,24-0057-E,18E - Exploration & Exploitation,Closed Out,BARITO BLOCK PSC,CA-157,G&G,INDONESIA BASIN,MAGNETIC,Structure Mapping,Site-57,3/29/2024 0:00,No,Rock Core,Dual,Project-57,Exploration,Well-57,Appraisal,Standard Program,PROG-57,Yes,67.77,1812,Oil Based Mud,788,High,6.9,SP-57,High,Medium,Layer-57,Satisfactory analysis result.,Strategic asset development,POD-57,2745,Field-57,Structure-57,76.7,3.9,-0.7157,109.7883,Target-57,Steel,3598,163866,45,23,2,3,WPAB-57,REF-57,1/1/2024 0:00,4/27/2024 0:00
SUMATERA,REPSOL,24-0058-E,18E - Exploration & Exploitation,Draft,SUMATERA BLOCK PSC,CA-158,G&G,INDONESIA BASIN,SEISMIC 2D,Hydrocarbon Detection,Site-58,3/30/2024 0:00,No,Rock Core,Dual,Project-58,Exploration,Well-58,Exploration,Standard Program,PROG-58,Yes,157.27,2618,Water Based Mud,1189,Medium,7.4,SP-58,Moderate,Medium,Layer-58,Satisfactory analysis result.,Strategic asset development,POD-58,2931,Field-58,Structure-58,87.8,4.1,-1.3736,110.6422,Target-58,Composite,2333,128603,36,21,3,1,WPAB-58,REF-58,1/1/2024 0:00,4/28/2024 0:00
SUMATERA,PERTAMINA HULU,24-0059-E,18E - Exploration & Exploitation,Approved,BARITO BLOCK PSC,CA-159,G&G,INDONESIA BASIN,SEISMIC 2D,Structure Mapping,Site-59,3/31/2024 0:00,Yes,Rock Core,Triple,Project-59,Development,Well-59,Appraisal,Standard Program,PROG-59,Yes,109.75,2779,Water Based Mud,1312,Medium,8.7,SP-59,High,Medium,Layer-59,Satisfactory analysis result.,Strategic asset development,POD-59,2387,Field-59,Structure-59,69.1,2.3,-1.4216,95.6348,Target-59,Steel,3357,188916,48,14,2,3,WPAB-59,REF-59,1/1/2024 0:00,4/29/2024 0:00
BARITO,CONOCOPHILLIPS,24-0060-E,18E - Exploration & Exploitation,Draft,BINTUNI BLOCK PSC,CA-160,G&G,INDONESIA BASIN,SEISMIC 2D,Hydrocarbon Detection,Site-60,4/1/2024 0:00,No,Rock Core,Dual,Project-60,Development,Well-60,Appraisal,Standard Program,PROG-60,No,75.35,1574,Oil Based Mud,823,Low,8.5,SP-60,Low,High,Layer-60,Satisfactory analysis result.,Strategic asset development,POD-60,2579,Field-60,Structure-60,34.6,3.5,-2.9954,124.1339,Target-60,Composite,2188,113757,40,40,5,3,WPAB-60,REF-60,1/1/2024 0:00,4/30/2024 0:00
MAHAKAM,PERTAMINA HULU,24-0061-E,18E - Exploration & Exploitation,Draft,SUMATERA BLOCK PSC,CA-161,G&G,INDONESIA BASIN,GRAVITY,Stratigraphic Correlation,Site-61,4/2/2024 0:00,Yes,Rock Core,Triple,Project-61,Development,Well-61,Development,Standard Program,PROG-61,Yes,197.25,2392,Oil Based Mud,902,High,6.4,SP-61,High,Medium,Layer-61,Satisfactory analysis result.,Strategic asset development,POD-61,1650,Field-61,Structure-61,81.8,1,-2.8775,114.4203,Target-61,Steel,2278,163839,37,26,4,2,WPAB-61,REF-61,1/1/2024 0:00,5/1/2024 0:00
BARITO,BP INDONESIA,24-0062-E,18E - Exploration & Exploitation,Closed Out,SERAM BLOCK PSC,CA-162,G&G,INDONESIA BASIN,SEISMIC 2D,Structure Mapping,Site-62,4/3/2024 0:00,Yes,Rock Core,Single,Project-62,Exploration,Well-62,Exploration,Standard Program,PROG-62,No,145.58,1738,Oil Based Mud,1001,Low,9,SP-62,High,Low,Layer-62,Satisfactory analysis result.,Strategic asset development,POD-62,2770,Field-62,Structure-62,64.3,1.1,-2.4417,121.666,Target-62,Composite,2139,127158,46,32,2,2,WPAB-62,REF-62,1/1/2024 0:00,5/2/2024 0:00
SUMATERA,BP INDONESIA,24-0063-E,18E - Exploration & Exploitation,Draft,MAHAKAM BLOCK PSC,CA-163,G&G,INDONESIA BASIN,G&G STUDY,Stratigraphic Correlation,Site-63,4/4/2024 0:00,No,Rock Core,Dual,Project-63,Development,Well-63,Appraisal,Standard Program,PROG-63,No,186.9,1348,Oil Based Mud,689,Low,10.9,SP-63,Low,High,Layer-63,Satisfactory analysis result.,Strategic asset development,POD-63,2400,Field-63,Structure-63,20.5,2,-0.4826,129.4544,Target-63,Steel,3838,172379,35,33,4,2,WPAB-63,REF-63,1/1/2024 0:00,5/3/2024 0:00
BARITO,BP INDONESIA,24-0064-E,18E - Exploration & Exploitation,Draft,SERAM BLOCK PSC,CA-164,G&G,INDONESIA BASIN,GRAVITY,Stratigraphic Correlation,Site-64,4/5/2024 0:00,No,Rock Core,Dual,Project-64,Exploration,Well-64,Appraisal,Standard Program,PROG-64,No,66.27,2301,Water Based Mud,1152,Low,10.2,SP-64,High,High,Layer-64,Satisfactory analysis result.,Strategic asset development,POD-64,2456,Field-64,Structure-64,40,4.7,-2.4005,126.847,Target-64,Composite,1778,158706,32,37,2,2,WPAB-64,REF-64,1/1/2024 0:00,5/4/2024 0:00
BINTUNI,CONOCOPHILLIPS,24-0065-E,18E - Exploration & Exploitation,Approved,BINTUNI BLOCK PSC,CA-165,G&G,INDONESIA BASIN,MAGNETIC,Hydrocarbon Detection,Site-65,4/6/2024 0:00,No,Rock Core,Triple,Project-65,Development,Well-65,Development,Standard Program,PROG-65,Yes,136.01,1317,Oil Based Mud,894,High,6.1,SP-65,Low,Low,Layer-65,Satisfactory analysis result.,Strategic asset development,POD-65,1238,Field-65,Structure-65,71.8,2.8,-0.1571,128.6558,Target-65,Steel,1523,111844,35,29,4,3,WPAB-65,REF-65,1/1/2024 0:00,5/5/2024 0:00
MAHAKAM,PERTAMINA HULU,24-0066-E,18E - Exploration & Exploitation,Draft,MAHAKAM BLOCK PSC,CA-166,G&G,INDONESIA BASIN,SEISMIC 2D,Stratigraphic Correlation,Site-66,4/7/2024 0:00,No,Rock Core,Single,Project-66,Exploration,Well-66,Exploration,Standard Program,PROG-66,Yes,151.78,1221,Water Based Mud,1295,Medium,11.5,SP-66,High,Medium,Layer-66,Satisfactory analysis result.,Strategic asset development,POD-66,1109,Field-66,Structure-66,73.8,3.8,-2.1845,112.1824,Target-66,Steel,3802,151084,48,40,2,3,WPAB-66,REF-66,1/1/2024 0:00,5/6/2024 0:00
SUMATERA,PERTAMINA HULU,24-0067-E,18E - Exploration & Exploitation,Approved,BINTUNI BLOCK PSC,CA-167,G&G,INDONESIA BASIN,GRAVITY,Stratigraphic Correlation,Site-67,4/8/2024 0:00,No,Rock Core,Dual,Project-67,Development,Well-67,Development,Standard Program,PROG-67,Yes,123.7,2526,Water Based Mud,691,High,7,SP-67,High,High,Layer-67,Satisfactory analysis result.,Strategic asset development,POD-67,2560,Field-67,Structure-67,89.2,2.9,-2.276,109.5714,Target-67,Steel,1465,140608,30,17,5,1,WPAB-67,REF-67,1/1/2024 0:00,5/7/2024 0:00
SERAM,ALTAR RESOURCES,24-0068-E,18E - Exploration & Exploitation,Approved,BARITO BLOCK PSC,CA-168,G&G,INDONESIA BASIN,SEISMIC 2D,Stratigraphic Correlation,Site-68,4/9/2024 0:00,Yes,Rock Core,Triple,Project-68,Development,Well-68,Appraisal,Standard Program,PROG-68,Yes,197.77,1646,Water Based Mud,1270,Medium,8.1,SP-68,Low,High,Layer-68,Satisfactory analysis result.,Strategic asset development,POD-68,2070,Field-68,Structure-68,52.1,2.4,-1.8694,139.8083,Target-68,Steel,2327,188782,40,14,3,3,WPAB-68,REF-68,1/1/2024 0:00,5/8/2024 0:00
MAHAKAM,REPSOL,24-0069-E,18E - Exploration & Exploitation,Draft,SUMATERA BLOCK PSC,CA-169,G&G,INDONESIA BASIN,G&G STUDY,Structure Mapping,Site-69,4/10/2024 0:00,Yes,Rock Core,Triple,Project-69,Exploration,Well-69,Appraisal,Standard Program,PROG-69,No,165.95,1398,Water Based Mud,1345,Medium,11.7,SP-69,Moderate,Low,Layer-69,Satisfactory analysis result.,Strategic asset development,POD-69,1173,Field-69,Structure-69,24.2,3.7,-1.3804,134.6387,Target-69,Steel,2290,140545,48,15,5,1,WPAB-69,REF-69,1/1/2024 0:00,5/9/2024 0:00
BINTUNI,REPSOL,24-0070-E,18E - Exploration & Exploitation,Approved,BINTUNI BLOCK PSC,CA-170,G&G,INDONESIA BASIN,SEISMIC 3D,Structure Mapping,Site-70,4/11/2024 0:00,Yes,Rock Core,Triple,Project-70,Development,Well-70,Appraisal,Standard Program,PROG-70,Yes,102.75,2505,Water Based Mud,783,High,10.7,SP-70,Low,High,Layer-70,Satisfactory analysis result.,Strategic asset development,POD-70,2854,Field-70,Structure-70,75.1,4.7,-0.3324,105.7901,Target-70,Steel,2879,179338,46,35,4,3,WPAB-70,REF-70,1/1/2024 0:00,5/10/2024 0:00
SUMATERA,REPSOL,24-0071-E,18E - Exploration & Exploitation,Approved,MAHAKAM BLOCK PSC,CA-171,G&G,INDONESIA BASIN,GRAVITY,Hydrocarbon Detection,Site-71,4/12/2024 0:00,No,Rock Core,Dual,Project-71,Development,Well-71,Development,Standard Program,PROG-71,Yes,64.32,2389,Water Based Mud,781,High,7.8,SP-71,Low,High,Layer-71,Satisfactory analysis result.,Strategic asset development,POD-71,1913,Field-71,Structure-71,31.8,4.5,-0.7255,134.7838,Target-71,Composite,1260,112018,50,39,3,1,WPAB-71,REF-71,1/1/2024 0:00,5/11/2024 0:00
BARITO,BP INDONESIA,24-0072-E,18E - Exploration & Exploitation,Approved,MAHAKAM BLOCK PSC,CA-172,G&G,INDONESIA BASIN,GRAVITY,Structure Mapping,Site-72,4/13/2024 0:00,Yes,Rock Core,Triple,Project-72,Development,Well-72,Development,Standard Program,PROG-72,No,189.52,2070,Water Based Mud,567,High,6.9,SP-72,Moderate,High,Layer-72,Satisfactory analysis result.,Strategic asset development,POD-72,2000,Field-72,Structure-72,58,2.3,-1.3294,134.5529,Target-72,Steel,3983,171320,37,33,4,3,WPAB-72,REF-72,1/1/2024 0:00,5/12/2024 0:00
MAHAKAM,PERTAMINA HULU,24-0073-E,18E - Exploration & Exploitation,Draft,BARITO BLOCK PSC,CA-173,G&G,INDONESIA BASIN,SEISMIC 3D,Structure Mapping,Site-73,4/14/2024 0:00,Yes,Rock Core,Triple,Project-73,Exploration,Well-73,Exploration,Standard Program,PROG-73,Yes,104.39,1037,Oil Based Mud,691,Medium,10.1,SP-73,High,Medium,Layer-73,Satisfactory analysis result.,Strategic asset development,POD-73,2462,Field-73,Structure-73,91.4,2.2,-2.8606,95.7379,Target-73,Steel,3057,151726,49,11,3,2,WPAB-73,REF-73,1/1/2024 0:00,5/13/2024 0:00
SERAM,CONOCOPHILLIPS,24-0074-E,18E - Exploration & Exploitation,Closed Out,SERAM BLOCK PSC,CA-174,G&G,INDONESIA BASIN,SEISMIC 3D,Hydrocarbon Detection,Site-74,4/15/2024 0:00,No,Rock Core,Dual,Project-74,Development,Well-74,Appraisal,Standard Program,PROG-74,No,162.99,1165,Water Based Mud,671,High,7.3,SP-74,High,Low,Layer-74,Satisfactory analysis result.,Strategic asset development,POD-74,2945,Field-74,Structure-74,26.1,4.4,-1.5071,110.1489,Target-74,Composite,3896,106511,43,14,3,1,WPAB-74,REF-74,1/1/2024 0:00,5/14/2024 0:00
BINTUNI,CONOCOPHILLIPS,24-0075-E,18E - Exploration & Exploitation,Draft,BARITO BLOCK PSC,CA-175,G&G,INDONESIA BASIN,SEISMIC 2D,Stratigraphic Correlation,Site-75,4/16/2024 0:00,Yes,Rock Core,Dual,Project-75,Exploration,Well-75,Appraisal,Standard Program,PROG-75,Yes,192.37,1179,Oil Based Mud,929,Low,9.5,SP-75,Low,Low,Layer-75,Satisfactory analysis result.,Strategic asset development,POD-75,2415,Field-75,Structure-75,99.5,2.8,-2.3084,117.2083,Target-75,Steel,1708,135950,34,36,3,2,WPAB-75,REF-75,1/1/2024 0:00,5/15/2024 0:00
SUMATERA,REPSOL,24-0076-E,18E - Exploration & Exploitation,Approved,SERAM BLOCK PSC,CA-176,G&G,INDONESIA BASIN,GRAVITY,Structure Mapping,Site-76,4/17/2024 0:00,Yes,Rock Core,Single,Project-76,Exploration,Well-76,Development,Standard Program,PROG-76,Yes,78.73,2773,Oil Based Mud,541,High,6.2,SP-76,Low,High,Layer-76,Satisfactory analysis result.,Strategic asset development,POD-76,2305,Field-76,Structure-76,63,3,-0.2253,119.3622,Target-76,Steel,3921,142295,47,35,5,3,WPAB-76,REF-76,1/1/2024 0:00,5/16/2024 0:00
SUMATERA,BP INDONESIA,24-0077-E,18E - Exploration & Exploitation,Closed Out,BINTUNI BLOCK PSC,CA-177,G&G,INDONESIA BASIN,SEISMIC 2D,Stratigraphic Correlation,Site-77,4/18/2024 0:00,No,Rock Core,Triple,Project-77,Exploration,Well-77,Appraisal,Standard Program,PROG-77,Yes,173.62,2974,Water Based Mud,977,Low,9.2,SP-77,High,Low,Layer-77,Satisfactory analysis result.,Strategic asset development,POD-77,2308,Field-77,Structure-77,62.6,5,-1.0427,139.0002,Target-77,Steel,1880,104678,37,26,3,3,WPAB-77,REF-77,1/1/2024 0:00,5/17/2024 0:00
SERAM,BP INDONESIA,24-0078-E,18E - Exploration & Exploitation,Approved,BARITO BLOCK PSC,CA-178,G&G,INDONESIA BASIN,G&G STUDY,Structure Mapping,Site-78,4/19/2024 0:00,Yes,Rock Core,Triple,Project-78,Exploration,Well-78,Appraisal,Standard Program,PROG-78,No,196.96,1098,Oil Based Mud,862,High,9.5,SP-78,High,Medium,Layer-78,Satisfactory analysis result.,Strategic asset development,POD-78,2495,Field-78,Structure-78,44.4,3.5,-1.5187,105.6869,Target-78,Composite,1493,174181,35,39,4,2,WPAB-78,REF-78,1/1/2024 0:00,5/18/2024 0:00
MAHAKAM,PERTAMINA HULU,24-0079-E,18E - Exploration & Exploitation,Closed Out,MAHAKAM BLOCK PSC,CA-179,G&G,INDONESIA BASIN,MAGNETIC,Stratigraphic Correlation,Site-79,4/20/2024 0:00,No,Rock Core,Dual,Project-79,Development,Well-79,Development,Standard Program,PROG-79,No,98.71,1546,Oil Based Mud,1396,Low,6.4,SP-79,Low,Low,Layer-79,Satisfactory analysis result.,Strategic asset development,POD-79,2414,Field-79,Structure-79,97.5,1.4,-1.3001,110.8703,Target-79,Composite,3153,180772,47,22,2,3,WPAB-79,REF-79,1/1/2024 0:00,5/19/2024 0:00
SUMATERA,ALTAR RESOURCES,24-0080-E,18E - Exploration & Exploitation,Closed Out,SERAM BLOCK PSC,CA-180,G&G,INDONESIA BASIN,SEISMIC 2D,Structure Mapping,Site-80,4/21/2024 0:00,Yes,Rock Core,Single,Project-80,Exploration,Well-80,Development,Standard Program,PROG-80,No,186.33,2515,Oil Based Mud,686,Medium,11,SP-80,Moderate,High,Layer-80,Satisfactory analysis result.,Strategic asset development,POD-80,2753,Field-80,Structure-80,61.8,4.7,-2.152,132.3051,Target-80,Composite,2375,129294,33,30,3,2,WPAB-80,REF-80,1/1/2024 0:00,5/20/2024 0:00
MAHAKAM,PERTAMINA HULU,24-0081-E,18E - Exploration & Exploitation,Draft,SERAM BLOCK PSC,CA-181,G&G,INDONESIA BASIN,GRAVITY,Structure Mapping,Site-81,4/22/2024 0:00,No,Rock Core,Triple,Project-81,Exploration,Well-81,Development,Standard Program,PROG-81,Yes,139.04,1572,Oil Based Mud,538,High,8.5,SP-81,Moderate,Low,Layer-81,Satisfactory analysis result.,Strategic asset development,POD-81,2968,Field-81,Structure-81,32.3,4.2,-1.9347,127.5758,Target-81,Steel,3181,147859,50,21,4,1,WPAB-81,REF-81,1/1/2024 0:00,5/21/2024 0:00
